index,message,conversation_id,topic_id,romanisation_label,lang_label,english,romanised_arabic,native_arabic,romanised_russian,native_russian,romanised_farsi,native_farsi,special
28299,kif bi3isho?,6616517313,teach_general,romanised,ar-Le,[],"[(0, 3), (4, 11)]",[],[],[],[],[],[]
28326,kif jebouwon?,6616520470,discuss_weekend,romanised,ar-Le,[],"[(0, 3), (4, 12)]",[],[],[],[],[],[]
28736,"Yes, we enjoyed the fresh night air",6618740787,discuss_weather,non_romanised,en,"[(0, 3), (5, 7), (8, 15), (16, 19), (20, 25), (26, 31), (32, 35)]",[],[],[],[],[],[],[]
30698,باز try میکنم ببینم میشه ایندفه,6619573777,random,non_romanised,"en, fa","[(4, 7)]",[],[],[],[],[],"[(0, 3), (8, 13), (14, 19), (20, 24), (25, 31)]",[]
31373,Begard donbal Employee,6620089733,complain_job,mixed,"en, fa","[(14, 22)]",[],[],[],[],"[(0, 6), (7, 13)]",[],[]
32670,Because pa dard misham,6623437347,random,mixed,"en, fa","[(0, 7)]",[],[],[],[],"[(8, 10), (11, 15), (16, 22)]",[],[]
34436,Because akharin nafar khodam khordam.,6624107318,random,mixed,"en, fa","[(0, 7)]",[],[],[],[],"[(8, 15), (16, 21), (22, 28), (29, 36)]",[],[]
34469,Hamon time ham ke bodim,6624107629,discuss_weekend,mixed,"en, fa","[(6, 10)]",[],[],[],[],"[(0, 5), (11, 14), (15, 17), (18, 23)]",[],[]
34679,Nostalgia ye khobi bod,6624111899,random,mixed,"en, fa","[(0, 9)]",[],[],[],[],"[(10, 12), (13, 18), (19, 22)]",[],[]
34769,Very garm hast,6624113259,discuss_weather,mixed,"en, fa","[(0, 4)]",[],[],[],[],"[(5, 9), (10, 14)]",[],[]
34981,Alan hâm zane my other brother,6624303796,random,mixed,"en, fa","[(14, 16), (17, 22), (23, 30)]",[],[],[],[],"[(0, 4), (5, 8), (9, 13)]",[],[]
35078,Kheili thin shode.,6624305821,random,mixed,"en, fa","[(7, 11)]",[],[],[],[],"[(0, 6), (12, 17)]",[],[]
35172,Shayad ye reason dare,6624306782,random,mixed,"en, fa","[(10, 16), (17, 21)]",[],[],[],[],"[(0, 6), (7, 9)]",[],[]
35495,Hamon ro choice mikardam,6625323913,debate_general,mixed,"en, fa","[(9, 15)]",[],[],[],[],"[(0, 5), (6, 8), (16, 24)]",[],[]
35748,Ke who in harfo zad,6625326159,random,mixed,"en, fa","[(3, 6), (7, 9)]",[],[],[],[],"[(0, 2), (10, 15), (16, 19)]",[],[]
39535,هم اموزش بدی ک جذب فالوور بشه برات,6612165968,random,non_romanised,fa,[],[],[],[],[],[],"[(0, 2), (3, 8), (9, 12), (13, 14), (15, 18), (19, 25), (26, 29), (30, 34)]",[]
39611,پس فردا بریم؟,6612166806,random,non_romanised,fa,[],[],[],[],[],[],"[(0, 2), (3, 7), (8, 13)]",[]
39633,نه فکر میکردم مثل دوره دیدن واسه ناخن هستا,6612167042,debate_general,non_romanised,fa,[],[],[],[],[],[],"[(0, 2), (3, 6), (7, 13), (14, 17), (18, 22), (23, 27), (28, 32), (33, 37), (38, 42)]",[]
40648,من کلا هنر تو دسر درست کردن دارم..😄,6612483428,random,non_romanised,fa,[],[],[],[],[],[],"[(0, 2), (3, 6), (7, 10), (11, 13), (14, 17), (18, 22), (23, 27), (28, 32)]","[(34, 35)]"
40719,مادرم مخالف پیاده روی یه چون خودش پادردداره,6612484701,discuss_hobbies,non_romanised,fa,[],[],[],[],[],[],"[(0, 5), (6, 11), (12, 17), (18, 21), (22, 24), (25, 28), (29, 33), (34, 43)]",[]
40833,خوب بررسی می‌کنه اون,6612490657,teach_general,non_romanised,fa,[],[],[],[],[],[],"[(0, 3), (4, 9), (10, 12), (13, 16), (17, 20)]",[]
43090,Dg onja mibinamet,6613965810,random,romanised,fa,[],[],[],[],[],"[(0, 2), (3, 7), (8, 17)]",[],[]
43371,Poshaki javab nemide,6614045921,complain_job,romanised,fa,[],[],[],[],[],"[(0, 7), (8, 13), (14, 20)]",[],[]
43694,Ro bedon azmon vase arshad ghabol mikone,6614046413,random,romanised,fa,[],[],[],[],[],"[(0, 2), (3, 8), (9, 14), (15, 19), (20, 26), (27, 33), (34, 40)]",[],[]
45154,Bodan,6614383090,discuss_weekend,romanised,fa,[],[],[],[],[],"[(0, 5)]",[],[]
45231,Hame mardom masalan miran biron,6614383773,random,romanised,fa,[],[],[],[],[],"[(0, 4), (5, 11), (12, 19), (20, 25), (26, 31)]",[],[]
47139,Vali age mikhai,6616512074,random,romanised,fa,[],[],[],[],[],"[(0, 4), (5, 8), (9, 15)]",[],[]
47186,Yadete🤣,6616512773,discuss_weekend,romanised,fa,[],[],[],[],[],"[(0, 6)]",[],"[(6, 7)]"
47749,inke naghash haye maroof,6617148034,discuss_weekend,romanised,fa,[],[],[],[],[],"[(0, 4), (5, 12), (13, 17), (18, 24)]",[],[]
52879,"No Rebellion to kak ras iz poslednego, why not?",6613345382,debate_general,mixed,"en, ru","[(0, 2), (3, 12), (13, 15), (39, 42), (43, 46)]",[],[],"[(16, 19), (20, 23), (24, 26), (27, 37)]",[],[],[],[]
52985,"privet. vse good, ty kak?",6613702460,random,mixed,"en, ru",[],[],[],"[(0, 6), (8, 11), (12, 16), (18, 20), (21, 24)]",[],[],[],[]
54260,"Privet, sis!",6621761380,discuss_weekend,mixed,"en, ru","[(8, 11)]",[],[],"[(0, 6)]",[],[],[],[]
54688,"Spasibo, hope so!",6622861587,random,mixed,"en, ru","[(9, 13), (14, 16)]",[],[],"[(0, 7)]",[],[],[],[]
55185,Dumayu mi dolzhni vmeste shodit' na concert,6623694777,discuss_weekend,mixed,"en, ru","[(36, 43)]",[],[],"[(0, 6), (7, 9), (10, 17), (18, 24), (25, 32), (33, 35)]",[],[],[],[]
55349,"Yes, I have, no hochu kupit' sebe novyj",6625827036,discuss_hobbies,mixed,"en, ru","[(0, 3), (5, 6), (7, 11), (13, 15)]",[],[],"[(16, 21), (22, 28), (29, 33), (34, 39)]",[],[],[],[]
55566,"Derzhis', a to nastroyenie itak vsegda gloomy v rainy weather",6626175022,discuss_weather,mixed,"en, ru","[(39, 45), (48, 53), (54, 61)]",[],[],"[(0, 8), (10, 11), (12, 14), (15, 26), (27, 31), (32, 38), (46, 47)]",[],[],[],[]
56479,"Well, u menya allergiya na coffee",6627717587,random,mixed,"en, ru","[(0, 4), (27, 33)]",[],[],"[(6, 7), (8, 13), (14, 23), (24, 26)]",[],[],[],[]
56828,"Ya hochu poluchit' kursy po project management. Ya dumayu, chto eto pomozhet mne v moei kar'ere.",6627798297,complain_job,mixed,"en, ru","[(28, 35), (36, 46)]",[],[],"[(0, 2), (3, 8), (9, 18), (19, 24), (25, 27), (48, 50), (51, 57), (59, 63), (64, 67), (68, 76), (77, 80), (81, 82), (83, 87), (88, 95)]",[],[],[],[]
56831,"Kak ty schitaesh', sovremennye technologies and artificial intelligence budut menyat' nashu rabotu v budushchem?",6627798297,complain_job,mixed,"en, ru","[(31, 43), (44, 47), (48, 58), (59, 71)]",[],[],"[(0, 3), (4, 6), (7, 17), (19, 30), (72, 77), (78, 85), (86, 91), (92, 98), (99, 100), (101, 111)]",[],[],[],[]
57865,"That's good, hot' na plyazh shodish",6628208123,discuss_weather,mixed,"en, ru","[(0, 6), (7, 11)]",[],[],"[(13, 17), (18, 20), (21, 27), (28, 35)]",[],[],[],[]
57934,"Aga, bylo neprosto - vybrat'sya so stadiona, so many people in one place.",6628221253,discuss_weekend,mixed,"en, ru","[(32, 34), (45, 47), (48, 52), (53, 59), (60, 62), (63, 66), (67, 72)]",[],[],"[(0, 3), (5, 9), (10, 18), (21, 31), (35, 43)]",[],[],[],[]
58199,"net, to be honest, ne znayu s chego nachat'...",6628318529,teach_general,mixed,"en, ru","[(5, 7), (8, 10), (11, 17)]",[],[],"[(0, 3), (19, 21), (22, 27), (28, 29), (30, 35), (36, 43)]",[],[],[],[]
58345,"Oh, yeah! Navernoye eto samyi izvestnyi fil'm pro mafia.",6628331371,debate_general,mixed,"en, ru","[(0, 2), (4, 8), (50, 55)]",[],[],"[(10, 19), (20, 23), (24, 29), (30, 39), (40, 45), (46, 49)]",[],[],[],[]
58741,"da, eto pravda IKEA ustranyaet posledstviya grozy.",6628443542,discuss_weather,mixed,"en, ru","[(15, 19)]",[],[],"[(0, 2), (4, 7), (8, 14), (20, 30), (31, 43), (44, 49)]",[],[],[],[]
59163,"Oh, ya obozhayu Van Gogh, mne kazhetsya ego kartiny svetyatsya...",6628605729,discuss_weekend,mixed,"en, ru","[(0, 2), (16, 19), (20, 24)]",[],[],"[(4, 6), (7, 15), (26, 29), (30, 39), (40, 43), (44, 51), (52, 62)]",[],[],[],[]
60059,Ya tolko nachal prohodit kurs po python dlya analitiki dannyh,6628944814,random,mixed,"en, ru","[(33, 39)]",[],[],"[(0, 2), (3, 8), (9, 15), (16, 24), (25, 29), (30, 32), (40, 44), (45, 54), (55, 61)]",[],[],[],[]
60837,"Definitely, tebe ponravitsya. Vprochem, ocheredi tam bezumno bolshie.",6629176432,random,mixed,"en, ru","[(0, 10), (61, 68)]",[],[],"[(12, 16), (17, 28), (30, 38), (40, 48), (49, 52), (53, 60)]",[],[],[],[]
61418,"Cool, ya SMS tebe pozzhe.",6629415796,random,mixed,"en, ru","[(0, 4), (9, 12)]",[],[],"[(6, 8), (13, 17), (18, 24)]",[],[],[],[]
61836,Oni ochen' khorosho smotryatsya i ty tochno dolzhen brat' ih. Have no doubt,6629719015,random,mixed,"en, ru","[(62, 66), (67, 69), (70, 75)]",[],[],"[(0, 3), (4, 10), (11, 19), (20, 31), (32, 33), (34, 36), (37, 43), (44, 51), (52, 57), (58, 60)]",[],[],[],[]
62151,"Na lyuboj taste. Chinese, Italian, Indian ili nacional'naya kuhnya...",6630056833,random,mixed,"en, ru","[(10, 15), (17, 24), (26, 33), (35, 41)]",[],[],"[(0, 2), (3, 9), (42, 45), (46, 59), (60, 66)]",[],[],[],[]
62224,Ya tozhe tak dumala until I moved here.,6630103462,discuss_weather,mixed,"en, ru","[(20, 25), (26, 27), (28, 33), (34, 38)]",[],[],"[(0, 2), (3, 8), (9, 12), (13, 19)]",[],[],[],[]
65224,"Добрый день, кошка какой породы?",6608038107,random,non_romanised,ru,[],[],[],[],"[(0, 6), (7, 11), (13, 18), (19, 24), (25, 31)]",[],[],[]
65246,"Da nichego strashnogo, ya i poigrat s nim mogu!",6608038737,random,romanised,ru,[],[],[],"[(0, 2), (3, 10), (11, 21), (23, 25), (26, 27), (28, 35), (36, 37), (38, 41), (42, 46)]",[],[],[],[]
65551,"Da uzh znayu, u menya polovina podrug begaet.",6608072696,discuss_hobbies,romanised,ru,[],[],[],"[(0, 2), (3, 6), (7, 12), (14, 15), (16, 21), (22, 30), (31, 37), (38, 45)]",[],[],[],[]
66336,Znayesh?,6609280804,random,romanised,ru,[],[],[],"[(0, 7)]",[],[],[],[]
66429,"Dochka na trenirovke nogu rastyanula , opyat na tom je meste kak i v proschlii raz",6609451436,random,romanised,ru,[],[],[],"[(0, 6), (7, 9), (10, 20), (21, 25), (26, 36), (39, 44), (45, 47), (48, 51), (52, 54), (55, 60), (61, 64), (65, 66), (67, 68), (69, 78), (79, 82)]",[],[],[],[]
67689,"Mesta ogranicheny, no zaiavki mogut podavat' vse.",6612804517,discuss_hobbies,romanised,ru,[],[],[],"[(0, 5), (6, 17), (19, 21), (22, 29), (30, 35), (36, 44), (45, 49)]",[],[],[],[]
68220,"Da, no menya pokusali komary (((",6613224382,discuss_weekend,romanised,ru,[],[],[],"[(0, 2), (4, 6), (7, 12), (13, 21), (22, 28)]",[],[],[],[]
68259,OOO! eto ochen interesno.,6613232265,teach_general,romanised,ru,[],[],[],"[(0, 3), (5, 8), (9, 14), (15, 25)]",[],[],[],[]
68634,U tebya zhe lichnyj repetitor byl?,6613388673,discuss_hobbies,romanised,ru,[],[],[],"[(0, 1), (2, 7), (8, 11), (12, 19), (20, 29), (30, 33)]",[],[],[],[]
69336,"IMAX dorogoi i daleko ehat' do nego, moya mashina slomalas' nado chinit'",6613966474,organise_event,romanised,ru,[],[],[],"[(0, 4), (5, 12), (13, 14), (15, 21), (22, 27), (28, 30), (31, 35), (37, 41), (42, 49), (50, 59), (60, 64), (65, 72)]",[],[],[],[]
72002,точно нет тебе не кажется,6615762177,random,non_romanised,ru,[],[],[],[],"[(0, 5), (6, 9), (10, 14), (15, 17), (18, 25)]",[],[],[]
77702,Man work mikardam,6625325050,complain_job,mixed,"en, fa","[(4, 8)]",[],[],[],[],"[(9, 17), (0, 3)]",[],[]
77873,Man can not in kar ro anjam bedam,6625332555,random,mixed,"en, fa","[(8, 11), (4, 7)]",[],[],[],[],"[(0, 3), (19, 21), (15, 18), (28, 33), (22, 27), (12, 14)]",[],[]
78671,To miri gym,6618648194,teach_general,mixed,"en, fa","[(8, 11)]",[],[],[],[],"[(3, 7), (0, 2)]",[],[]
